split,cluster,human_0,ai_1,total,ratio_human_ai,ratio_ai_human,pct_ai
test,-1,8462,12135,20597,0.6973217964565307,1.4340581422831482,58.916347040831184
test,0,826,2164,2990,0.38170055452865065,2.6198547215496366,72.37458193979933
test,1,19543,1626,21169,12.019065190651906,0.08320114619045182,7.6810430346261045
test,2,176,539,715,0.32653061224489793,3.0625,75.38461538461539
test,3,223,746,969,0.29892761394101874,3.3452914798206277,76.98658410732713
test,4,129,433,562,0.2979214780600462,3.356589147286822,77.04626334519573
test,5,1015,3540,4555,0.2867231638418079,3.4876847290640396,77.71679473106477
test,6,77,673,750,0.11441307578008915,8.74025974025974,89.73333333333333
test,7,383,797,1180,0.48055207026348806,2.0809399477806787,67.54237288135593
test,8,986,2577,3563,0.3826154443150951,2.6135902636916835,72.32669099073814
test,9,780,1528,2308,0.5104712041884817,1.958974358974359,66.20450606585788
test,10,490,1703,2193,0.28772753963593656,3.475510204081633,77.65617875056999
test,11,2972,7641,10613,0.38895432535008506,2.5709959623149397,71.99660793366625
train,-1,68281,96360,164641,0.7086031548360315,1.4112271349277252,58.52734130623599
train,0,6614,17418,24032,0.3797221265357676,2.6335046870275174,72.478362183755
train,1,157012,12652,169664,12.41005374644325,0.08057982829337886,7.457091663523199
train,2,1415,4414,5829,0.32057091073855914,3.119434628975265,75.72482415508664
train,3,1805,5897,7702,0.3060878412752247,3.2670360110803323,76.56452869384576
train,4,926,3679,4605,0.25169883120413156,3.973002159827214,79.8914223669924
train,5,7954,27543,35497,0.2887848092074211,3.4627860196127735,77.59247260331858
train,6,409,5326,5735,0.07679309049943672,13.02200488997555,92.86835222319093
train,7,2736,6658,9394,0.41093421447882245,2.4334795321637426,70.87502661273153
train,8,7258,20093,27351,0.36122032548648786,2.768393496831083,73.46349310811306
train,9,6021,12435,18456,0.4841978287092883,2.065271549576482,67.37646293888166
train,10,3949,14042,17991,0.28122774533542233,3.5558369207394276,78.0501361792007
train,11,24350,62053,86403,0.39240649122524296,2.5483778234086243,71.81810816754049
val,-1,8671,12183,20854,0.7117294590823279,1.4050282551032176,58.420446916658676
val,0,853,2155,3008,0.39582366589327145,2.5263774912075028,71.64228723404256
val,1,19336,1604,20940,12.054862842892769,0.08295407529995863,7.659980897803248
val,2,156,598,754,0.2608695652173913,3.8333333333333335,79.3103448275862
val,3,250,756,1006,0.3306878306878307,3.024,75.14910536779324
val,4,124,430,554,0.28837209302325584,3.467741935483871,77.6173285198556
val,5,967,3518,4485,0.27487208641273453,3.638055842812823,78.43924191750278
val,6,55,636,691,0.08647798742138364,11.563636363636364,92.04052098408104
val,7,382,814,1196,0.4692874692874693,2.130890052356021,68.06020066889631
val,8,886,2479,3365,0.3574021782977007,2.7979683972911964,73.6701337295691
val,9,737,1548,2285,0.4760981912144703,2.1004070556309364,67.74617067833698
val,10,506,1732,2238,0.2921478060046189,3.4229249011857705,77.390527256479
val,11,3098,7688,10786,0.4029656607700312,2.4816010329244675,71.2775820508066
